date,margin_ratio_pct
2018-10-03,142.721641
2018-10-04,141.548807
2018-10-05,137.757268
2018-10-08,137.865838
2018-10-09,137.220792
2018-10-11,129.597716
2018-10-12,133.894546
2018-10-15,134.341332
2018-10-16,135.122213
2018-10-17,135.416044
2018-10-18,133.800878
2018-10-19,133.885816
2018-10-22,136.092354
2018-10-23,132.025379
2018-10-24,131.318918
2018-10-25,127.230502
2018-10-26,126.662225
2018-10-29,126.056068
2018-10-30,125.754239
2018-10-31,129.641841
2018-11-01,132.777159
2018-11-02,134.170162
2018-11-05,134.025259
2018-11-06,131.244936
2018-11-07,134.332869
2018-11-08,134.186389
2018-11-09,133.665235
2018-11-12,132.566012
2018-11-13,132.872683
2018-11-14,133.416240
2018-11-15,134.268360
2018-11-16,134.743106
2018-11-19,136.306667
2018-11-20,135.246664
2018-11-21,136.242469
2018-11-22,134.338307
2018-11-23,132.202886
2018-11-26,135.100122
2018-11-27,135.974366
2018-11-28,138.432932
2018-11-29,138.834694
2018-11-30,139.675654
2018-12-03,145.214730
2018-12-04,143.730427
2018-12-05,141.879593
2018-12-06,136.386495
2018-12-07,137.463576
2018-12-10,135.093436
2018-12-11,135.917905
2018-12-12,139.074755
2018-12-13,139.147719
2018-12-14,137.894286
2018-12-17,137.468829
2018-12-18,135.964913
2018-12-19,135.826752
2018-12-20,133.586585
2018-12-21,133.872879
2018-12-24,134.774026
2018-12-25,134.060295
2018-12-26,132.435888
2018-12-27,134.459903
2018-12-28,134.862797
2019-01-02,134.015808
2019-01-03,132.607123
2019-01-04,131.258529
2019-01-07,134.030292
2019-01-08,134.905149
2019-01-09,136.612170
2019-01-10,137.302859
2019-01-11,137.147381
2019-01-14,136.545276
2019-01-15,138.508356
2019-01-16,139.157411
2019-01-17,138.646077
2019-01-18,140.151404
2019-01-21,140.344148
2019-01-22,139.411210
2019-01-23,140.119320
2019-01-24,140.765888
2019-01-25,141.899968
2019-01-28,143.294768
2019-01-29,142.098755
2019-01-30,142.937664
2019-02-11,144.570317
2019-02-12,145.823276
2019-02-13,148.020285
2019-02-14,148.890922
2019-02-15,147.141687
2019-02-18,148.673323
2019-02-19,149.606233
2019-02-20,150.523213
2019-02-21,151.574349
2019-02-22,150.524619
2019-02-25,153.309452
2019-02-26,151.925639
2019-02-27,151.040105
2019-03-04,152.097704
2019-03-05,150.466912
2019-03-06,151.192826
2019-03-07,149.283878
2019-03-08,149.398433
2019-03-11,149.880066
2019-03-12,150.270301
2019-03-13,150.254935
2019-03-14,150.748127
2019-03-15,152.103187
2019-03-18,153.353744
2019-03-19,153.373367
2019-03-20,153.518452
2019-03-21,154.007065
2019-03-22,152.783264
2019-03-25,150.214018
